date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:50	97/97	---M-Z	200	added ('OK')	text/plain	etag:%22a2a7e7cd42d1c410641d202c80816d45%22	https://arachatel.framer.website/robots.txt		(from )
18:29:51	398029/398029	---M-Z	200	added ('OK')	text/html	etag:%229626d976d6806760c6e85b9095b28319%22	https://arachatel.framer.website/	C:/My%20Web%20Sites/afterfeedback/arachatel.framer.website/index.html	(from )
18:29:51	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2015%20Mar%202024%2010:29:51%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/afterfeedback/www.googletagmanager.com/gtm.05445.delayed	(from https://arachatel.framer.website/)
18:29:54	241918/241918	---M-Z	200	added ('OK')	text/html	etag:%22ca825428b184c47e1b9ad12716cb7410%22	https://arachatel.framer.website/features	C:/My%20Web%20Sites/afterfeedback/arachatel.framer.website/features.html	(from https://arachatel.framer.website/)
18:29:56	304312/304312	---M-Z	200	added ('OK')	text/html	etag:%229b946043b490ebe4ab1e7b37d514aa6f%22	https://arachatel.framer.website/pricing	C:/My%20Web%20Sites/afterfeedback/arachatel.framer.website/pricing.html	(from https://arachatel.framer.website/)
18:29:58	204670/204670	---M-Z	200	added ('OK')	text/html	etag:%2206ce8665c1bdc8a3018e737de7fcaf30%22	https://arachatel.framer.website/blog	C:/My%20Web%20Sites/afterfeedback/arachatel.framer.website/blog.html	(from https://arachatel.framer.website/)
18:29:58	167647/167647	---MC-	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2008:12:43%20GMT	https://framerusercontent.com/images/qdl9ooZjpEj2F3i6vN2hoDrK0TY.png	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/qdl9ooZjpEj2F3i6vN2hoDrK0TY.png	(from https://arachatel.framer.website/)
18:29:59	1346/1346	---MC-	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202024%2010:29:59%20GMT	https://framerusercontent.com/images/sT3uO7dD8e4YHCRQWq2HVZkTi8.png	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/sT3uO7dD8e4YHCRQWq2HVZkTi8.png	(from https://arachatel.framer.website/)
18:29:59	525457/525457	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2008:12:45%20GMT	https://framerusercontent.com/images/pa3enr0rMIp8hB9a3ByxHGNkiQ.jpg?scale-down-to=4096	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/pa3enr0rMIp8hB9a3ByxHGNkiQa3fc.jpg	(from https://arachatel.framer.website/)
18:30:01	268450/268450	---MC-	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202024%2010:30:01%20GMT	https://framerusercontent.com/images/KcL7MpcCEKLMJj2SQWqnWsKp2Q.png	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/KcL7MpcCEKLMJj2SQWqnWsKp2Q.png	(from https://arachatel.framer.website/)
18:30:03	192577/192577	---MC-	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202024%2010:30:02%20GMT	https://framerusercontent.com/images/G1k7vnM5P8kW3006NM5ohtP7kUw.png	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/G1k7vnM5P8kW3006NM5ohtP7kUw.png	(from https://arachatel.framer.website/)
18:30:03	84061/84061	---MC-	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2008:12:49%20GMT	https://framerusercontent.com/images/nGJaHPcfPnBVpoj6214PtFsxg.png	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/nGJaHPcfPnBVpoj6214PtFsxg.png	(from https://arachatel.framer.website/)
18:30:03	24799/24799	---MC-	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202024%2010:30:03%20GMT	https://framerusercontent.com/images/WnsDVxtTCay6pmq9z6d1ZtYB2u4.png	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/WnsDVxtTCay6pmq9z6d1ZtYB2u4.png	(from https://arachatel.framer.website/)
18:30:03	441326/441326	---MC-	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2008:12:51%20GMT	https://framerusercontent.com/images/OFCTUp6er3GoiV9dR29nyDnw.png	C:/My%20Web%20Sites/afterfeedback/framerusercontent.com/images/OFCTUp6er3GoiV9dR29nyDnw.png	(from https://arachatel.framer.website/)
